# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 183K of event 'cycles:ppp'
# Event count (approx.): 186916144949
#
# Overhead  Command  Shared Object            Symbol                                                                                                                                            
# ........  .......  .......................  ..................................................................................................................................................
#
     0.00%  gmx      libgromacs.so.5.0.0      [.] Nbnxm::Grid::setCellIndices@plt
     0.00%  gmx      [kernel.kallsyms]        [k] ret_from_intr
     0.00%  gmx      libgromacs.so.5.0.0      [.] nbnxn_atomdata_t::resizeCoordinateBuffer@plt
     0.00%  gmx      libgromacs.so.5.0.0      [.] reset_enerdata
     0.00%  gmx      libgromacs.so.5.0.0      [.] gmx::HostAllocationPolicy::HostAllocationPolicy@plt
     0.00%  gmx      libgromacs.so.5.0.0      [.] wallcycle_sub_start
     0.00%  gmx      libgromacs.so.5.0.0      [.] nbnxn_atomdata_copy_shiftvec
     0.00%  gmx      [kernel.kallsyms]        [k] ext4_block_write_begin
     0.00%  gmx      libgromacs.so.5.0.0      [.] Nbnxm::Grid::setDimensions@plt
     0.00%  gmx      [kernel.kallsyms]        [k] ext4_da_write_end
     0.00%  gmx      libgromacs.so.5.0.0      [.] nbnxn_atomdata_copy_shiftvec@plt
     0.00%  gmx      libgromacs.so.5.0.0      [.] xdr_vector@plt
     0.00%  gmx      [kernel.kallsyms]        [k] node_dirty_ok
     0.00%  gmx      libgromacs.so.5.0.0      [.] AtomProxy::globalAtomNumber
     0.00%  gmx      [kernel.kallsyms]        [k] trigger_load_balance
     0.00%  gmx      [kernel.kallsyms]        [k] usb_hcd_link_urb_to_ep
     0.00%  gmx      libgromacs.so.5.0.0      [.] state_change_natoms
     0.00%  gmx      [kernel.kallsyms]        [k] __lru_cache_add
     0.00%  gmx      [kernel.kallsyms]        [k] __alloc_pages_nodemask
     0.00%  gmx      libopenblasp-r0.2.20.so  [.] 0x0000000000304a9c
     0.00%  gmx      [kernel.kallsyms]        [k] page_add_new_anon_rmap
     0.00%  gmx      libopenblasp-r0.2.20.so  [.] 0x0000000000304ab0
     0.00%  gmx      [kernel.kallsyms]        [k] pagevec_lru_move_fn
     0.00%  gmx      [kernel.kallsyms]        [k] __pagevec_lru_add_fn
     0.00%  gmx      libopenblasp-r0.2.20.so  [.] 0x0000000000304aa8
     0.00%  gmx      libgromacs.so.5.0.0      [.] setup_bonded_threading
     0.00%  gmx      libgromacs.so.5.0.0      [.] nbnxn_atomdata_t::resizeCoordinateBuffer
     0.00%  gmx      [kernel.kallsyms]        [k] reweight_entity
     0.00%  gmx      libopenblasp-r0.2.20.so  [.] 0x0000000000304aaa
     0.00%  gmx      libgromacs.so.5.0.0      [.] std::vector<Nbnxm::BoundingBox, gmx::Allocator<Nbnxm::BoundingBox, gmx::AlignedAllocationPolicy> >::_M_default_append
     0.00%  gmx      libgromacs.so.5.0.0      [.] print_start
     0.00%  gmx      [kernel.kallsyms]        [k] process_measurement
     0.00%  gmx      ld-2.27.so               [.] do_lookup_x
     0.00%  gmx      libc-2.27.so             [.] __strnlen_avx2
     0.00%  gmx      [kernel.kallsyms]        [k] _raw_spin_unlock_irqrestore
     0.00%  gmx      [kernel.kallsyms]        [k] unfreeze_partials.isra.72
     0.00%  gmx      [kernel.kallsyms]        [k] load_balance
     0.00%  gmx      [kernel.kallsyms]        [k] page_remove_rmap
